Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
91371,1,73,0,1,1,1
90001,57110,26,28468,28642,12971,4
90002,51223,25,24876,26347,11731,4
90003,66266,26,32631,33635,15642,4
90004,62180,34,31302,30878,22547,2
90005,37681,33,19299,18382,15044,2
90006,59185,32,30254,28931,18617,3
90007,40920,24,20915,20005,11944,3
90008,32327,39,14477,17850,13841,2
90010,3800,37,1874,1926,2014,1
90011,103892,26,52794,51098,22168,4
90012,31103,36,19493,11610,10327,2
90013,11772,44,7629,4143,6416,1
90014,7005,44,4471,2534,4109,1
90015,18986,31,9833,9153,7420,2
90016,47596,33,22778,24818,16145,2
90017,23768,29,12818,10950,9338,2
90018,49310,33,23770,25540,15493,3
90019,64458,35,31442,33016,23344,2
90020,38967,34,19381,19586,16514,2
90021,3951,44,2790,1161,1561,1
90022,67179,29,33216,33963,17023,3
90023,45903,28,23037,22866,10727,4
90024,47452,23,22248,25204,17903,2
90025,42147,34,20859,21288,21228,1
90026,67869,34,34515,33354,24956,2
90027,45151,38,22362,22789,21929,1
90028,28714,34,16056,12658,14964,1
90029,38617,34,19575,19042,13883,2
90031,39316,33,19546,19770,11156,3
90032,45786,32,22564,23222,12765,3
90033,48852,29,24425,24427,12924,3
90034,57964,32,28828,29136,25592,2
90035,28418,37,13326,15092,12814,2
90036,36865,33,17914,18951,18646,1
90037,62276,28,31187,31089,15869,3
90038,28917,33,15383,13534,11928,2
90039,28514,38,14383,14131,11436,2
90040,12520,31,6129,6391,3317,3
90041,27425,39,13212,14213,9513,2
90042,62430,33,30836,31594,19892,3
90043,44789,38,20561,24228,16075,2
90044,89779,28,43128,46651,25144,3
90045,39480,35,18958,20522,15224,2
90046,48581,38,25854,22727,28534,1
90047,48606,36,22129,26477,16168,2
90048,21397,39,10132,11265,11821,1
90049,35482,41,16359,19123,16657,2
90056,7827,48,3436,4391,3371,2
90057,44998,31,24300,20698,15658,2
90058,3223,26,1555,1668,892,3
90059,40952,25,19623,21329,9596,4
90061,26872,28,13049,13823,6892,3
90062,32821,31,15720,17101,9155,3
90063,55758,29,27843,27915,13260,4
90064,25403,40,12297,13106,10968,2
90065,45527,36,22873,22654,14476,3
90066,55277,37,27714,27563,23985,2
90067,2424,65,1074,1350,1510,1
90068,22286,39,12018,10268,12326,1
90069,20483,41,12153,8330,13364,1
90071,15,45,13,2,0,0
90073,539,56,506,33,4,1
90077,9377,47,4594,4783,3615,2
90079,0,0,0,0,0,0
90089,3217,19,1436,1781,31,1
90090,0,0,0,0,0,0
90094,5464,33,2559,2905,2949,1
90095,3,52,2,1,2,1
90201,101279,27,50658,50621,24104,4
90210,21741,47,10292,11449,8669,2
90211,8434,40,3849,4585,3706,2
90212,11555,41,5211,6344,5567,2
90220,49328,29,23773,25555,12741,3
90221,53704,26,26346,27358,11630,4
90222,31869,27,15375,16494,7520,4
90230,31766,39,14932,16834,12883,2
90232,15149,38,7333,7816,6605,2
90240,25876,35,12501,13375,7632,3
90241,42399,33,20466,21933,13617,3
90242,43497,31,21207,22290,12687,3
90245,16654,39,8304,8350,7085,2
90247,47487,35,23217,24270,15830,2
90248,9947,41,4823,5124,3427,2
90249,26669,37,12897,13772,8880,2
90250,93193,31,45113,48080,31087,2
90254,19506,37,10273,9233,9550,2
90255,75066,29,37525,37541,18419,4
90260,34924,32,17509,17415,10429,3
90262,69745,27,33919,35826,14669,4
90263,1612,19,665,947,0,0
90265,18116,46,9159,8957,7174,2
90266,35135,40,17605,17530,14038,2
90270,27372,27,13992,13380,6554,4
90272,22986,47,10952,12034,9212,2
90274,25209,49,12199,13010,9479,2
90275,41804,47,20283,21521,15618,2
90277,35293,42,17521,17772,16910,2
90278,40071,38,19848,20223,16009,2
90280,94396,29,46321,48075,23278,4
90290,6368,45,3180,3188,2612,2
90291,28341,37,14757,13584,14261,1
90292,21576,41,10729,10847,12654,1
90293,12132,40,5890,6242,6575,1
90301,36568,32,17633,18935,11895,3
90302,29415,32,13803,15612,10684,2
90303,26176,30,12733,13443,7290,3
90304,28210,28,14503,13707,6634,4
90305,14853,43,6552,8301,5933,2
90401,6722,37,3524,3198,4188,1
90402,12250,47,5809,6441,5301,2
90403,24525,40,11426,13099,13970,1
90404,21360,37,10292,11068,10089,2
90405,27186,40,13364,13822,14376,1
90501,43180,35,21483,21697,14610,2
90502,18010,40,8811,9199,5717,2
90503,44383,40,21481,22902,17183,2
90504,32102,40,15886,16216,11580,2
90505,36678,43,17684,18994,14244,2
90506,0,0,0,0,0,0
90601,31974,36,15312,16662,11027,2
90602,25777,30,12720,13057,7980,3
90603,20063,39,9694,10369,6788,2
90604,39407,34,19270,20137,11932,3
90605,40331,32,20033,20298,10527,3
90606,32396,33,15936,16460,8633,3
90621,35153,32,17377,17776,10304,3
90623,15554,41,7516,8038,5072,3
90630,47993,40,23204,24789,15785,3
90631,67619,34,33320,34299,21452,3
90638,49012,37,23520,25492,14821,3
90640,62549,34,30189,32360,19027,3
90650,105549,32,52364,53185,27130,3
90660,62928,34,30738,32190,16564,3
90670,14866,36,7163,7703,4393,3
90701,16591,38,8227,8364,4553,3
90703,49399,43,23785,25614,15604,3
90704,4090,37,2101,1989,1629,2
90706,76615,31,37203,39412,23650,3
90710,25457,36,12291,13166,8717,2
90712,31499,38,15277,16222,10794,2
90713,27925,39,13574,14351,9447,2
90715,20388,33,9935,10453,6105,3
90716,14184,28,7078,7106,3515,4
90717,21318,39,10317,11001,8520,2
90720,21751,41,10423,11328,7789,2
90723,54099,28,26315,27784,13882,3
90731,59662,35,29951,29711,22044,2
90732,21115,45,9843,11272,8611,2
90740,23729,57,10423,13306,12830,1
90744,53815,28,27298,26517,13999,3
90745,57251,37,27754,29497,15210,3
90746,25990,40,11944,14046,8050,3
90747,0,0,0,0,0,0
90755,11074,36,5462,5612,4172,2
90802,39347,34,20387,18960,19853,1
90803,32031,42,15609,16422,17318,1
90804,40311,29,19686,20625,14556,2
90805,93524,29,45229,48295,26056,3
90806,42399,30,20717,21682,12184,3
90807,31481,39,15153,16328,12452,2
90808,38232,41,18408,19824,14167,2
90810,36735,31,18067,18668,9289,3
90813,58911,27,29425,29486,16425,3
90814,19131,37,9356,9775,9170,2
90815,39733,37,19124,20609,14836,2
90822,117,63,109,8,2,4
90831,0,0,0,0,0,0
91001,36126,41,17421,18705,12663,2
91006,31715,42,15283,16432,10652,2
91007,34095,43,16039,18056,12033,2
91008,1391,54,614,777,562,2
91010,26074,38,12461,13613,7972,3
91011,20280,45,9863,10417,6859,2
91016,40598,37,19434,21164,15029,2
91020,8415,40,3966,4449,3385,2
91024,10917,46,5165,5752,4837,2
91030,25616,40,12160,13456,10466,2
91040,20372,43,10120,10252,7359,2
91042,27585,40,13734,13851,9987,2
91046,156,74,51,105,114,1
91101,20460,33,9926,10534,10869,1
91103,27480,35,13481,13999,8492,3
91104,36751,38,17874,18877,12922,2
91105,11254,49,5432,5822,5213,2
91106,24229,34,11993,12236,10723,2
91107,32940,41,15940,17000,13028,2
91108,13361,45,6410,6951,4415,3
91201,22781,40,11123,11658,8150,2
91202,22830,41,10805,12025,8879,2
91203,13220,38,6279,6941,5044,2
91204,16032,38,7699,8333,5639,2
91205,37810,39,18084,19726,14089,2
91206,33065,42,15544,17521,13261,2
91207,10506,45,4924,5582,4097,2
91208,16245,43,7756,8489,6106,2
91210,328,33,162,166,178,1
91214,30356,42,14642,15714,10551,2
91301,25488,42,12511,12977,9208,2
91302,25709,42,12487,13222,9303,2
91303,26855,31,13907,12948,8697,3
91304,50231,35,24827,25404,16532,3
91306,45061,35,22679,22382,13635,3
91307,24474,43,11939,12535,8315,2
91311,36557,42,17838,18719,13425,2
91316,26898,42,12717,14181,11911,2
91321,34882,33,17402,17480,11215,3
91324,27669,36,13545,14124,9289,2
91325,32417,35,15819,16598,11825,2
91326,33708,42,16394,17314,11770,2
91330,2702,19,1103,1599,2,2
91331,103689,29,52358,51331,22465,4
91335,74363,35,36596,37767,22855,3
91340,34188,30,17130,17058,8176,4
91342,91725,31,45786,45939,23543,3
91343,60254,32,30145,30109,16802,3
91344,51747,41,25212,26535,16872,3
91345,18496,35,9110,9386,5192,3
91350,33348,36,16270,17078,10991,3
91351,32362,33,16086,16276,10036,3
91352,47807,32,23980,23827,11985,3
91354,28722,36,14046,14676,9522,3
91355,32605,38,15773,16832,12772,2
91356,29458,41,14216,15242,11686,2
91361,20438,47,9854,10584,8374,2
91362,36045,42,17562,18483,13563,2
91364,25851,44,12739,13112,10409,2
91367,39499,41,19171,20328,16697,2
91377,13811,41,6641,7170,5158,2
91381,20158,36,9852,10306,6636,3
91384,29855,32,18503,11352,6925,3
91387,40328,33,20106,20222,12871,3
91390,19786,40,9911,9875,6369,3
91401,39285,36,19613,19672,14380,2
91402,69817,30,35095,34722,18194,3
91403,23484,39,11277,12207,11358,2
91405,51145,32,25498,25647,16256,3
91406,51558,33,25956,25602,17042,3
91411,24628,33,12495,12133,9177,2
91423,30991,39,14789,16202,14876,2
91436,14372,46,6890,7482,5552,2
91501,20849,38,10040,10809,8235,2
91502,11371,36,5402,5969,5001,2
91504,24939,38,12006,12933,9180,2
91505,30778,38,15121,15657,13180,2
91506,18904,40,9115,9789,7555,2
91601,37180,32,18932,18248,15970,2
91602,17473,38,8722,8751,9277,1
91604,29034,40,14271,14763,14292,2
91605,56343,31,28417,27926,15357,3
91606,44958,34,22376,22582,14903,3
91607,27927,38,13635,14292,12859,2
91608,0,0,0,0,0,0
91702,59705,29,29486,30219,15455,3
91706,76571,30,37969,38602,17504,4
91709,74796,36,36954,37842,22940,3
91710,80358,33,42283,38075,21952,3
91711,35705,38,16777,18928,11868,2
91722,34409,34,16859,17550,10079,3
91723,18275,35,8783,9492,6296,2
91724,26184,37,12780,13404,8508,3
91731,29591,32,14888,14703,8007,3
91732,61386,31,30755,30631,14700,4
91733,43896,30,22191,21705,9918,4
91740,25356,38,12269,13087,8376,2
91741,25824,41,12498,13326,9126,2
91744,85040,30,42564,42476,18648,4
91745,54013,40,26287,27726,16188,3
91746,30485,32,15116,15369,6743,4
91748,45406,39,22368,23038,13311,3
91750,33249,42,15881,17368,11944,2
91754,32742,42,15620,17122,11193,2
91755,27496,43,13271,14225,8760,3
91759,476,47,239,237,216,2
91763,36375,30,18099,18276,9450,3
91765,46457,40,22702,23755,15039,3
91766,71599,28,36111,35488,17708,4
91767,48068,31,23685,24383,13691,3
91768,34537,27,17509,17028,7885,3
91770,62097,38,30521,31576,16588,3
91773,33119,42,15737,17382,11941,2
91775,23988,41,11448,12540,8227,2
91776,38475,39,18751,19724,11776,3
91780,34332,41,16438,17894,11318,3
91784,25938,44,12729,13209,8934,2
91786,51165,33,24516,26649,18087,2
91789,43079,42,20988,22091,12891,3
91790,44907,35,21721,23186,12751,3
91791,32414,38,15512,16902,10236,3
91792,30854,35,14950,15904,9154,3
91801,52735,39,24833,27902,19315,2
91803,30322,39,14486,15836,9894,3
92301,32725,25,16857,15868,8132,3
92371,16763,37,8565,8198,5370,3
92372,6220,41,3136,3084,2198,2
92397,4894,44,2522,2372,1998,2
92821,35533,38,17338,18195,13062,2
92823,3613,38,1757,1856,1154,3
92833,51767,36,25643,26124,15849,3
93040,2031,29,1052,979,522,3
93063,54366,39,26592,27774,18650,2
93225,5077,44,2585,2492,2080,2
93243,1699,40,884,815,623,2
93252,4176,38,3301,875,647,2
93510,7993,45,4086,3907,2729,2
93523,3074,27,1531,1543,1056,2
93532,2932,41,1642,1290,1079,2
93534,39341,31,18601,20740,14038,2
93535,72046,28,34879,37167,20672,3
93536,70918,34,37804,33114,20964,3
93543,13033,32,6695,6338,3560,3
93544,1259,52,689,570,569,2
93550,74929,27,36414,38515,20864,3
93551,50798,37,25056,25742,15963,3
93552,38158,28,18711,19447,9690,3
93553,2138,43,1121,1017,816,2
93560,18910,32,9491,9419,6469,2
93563,388,44,263,125,103,2
93591,7285,30,3653,3632,1982,3
